name,short_name,symbol,exchange,fractional
Vanguard U.K. Gilt UCITS ETF,Vanguard U.K. Gilt,VGOV,London Stock Exchange,True
Wayfair Inc,Wayfair,W,NYSE,False
Banco de Sabadell SA,Banco de Sabadell,SAB,Bolsa de Madrid,True
BioNTech Se,BioNTech,BNTX,NASDAQ,True
"Datadog, Inc.",Datadog,DDOG,NASDAQ,True
Lithium Americas Corp.,Lithium Americas,LAC,NYSE,True
Macerich,Macerich,MAC,NYSE,False
Raytheon Technologies Corp.,Raytheon Technologies,RTX,NYSE,True
Severn Trent PLC,Severn Trent,SVT,London Stock Exchange,True
VEON Ltd.,VEON,VEON,NASDAQ,False
Xetra-Gold ETF,Xetra-Gold,4GLD,Deutsche Börse Xetra,True
"BioCryst Pharmaceuticals, Inc.",BioCryst Pharmaceuticals,BCRX,NASDAQ,False
"Fitbit, Inc.",Fitbit,FIT,NYSE,True
Hikma Pharmaceuticals PLC,Hikma Pharmaceuticals,HIK,London Stock Exchange,False
Iberdrola SA,Iberdrola,IBE,Bolsa de Madrid,True
"Marriott International, Inc.",Marriott International,MAR,NASDAQ,True
Telefonaktiebolaget LM Ericsson ADR,Ericsson ADR,ERIC,NASDAQ,True
Tencent Music Entertainment Group ADR,"Tencent Music Entertainment Group
TME",,NYSE,False
Toyota Motor Corporation ADR,Toyota Motor Corporation ADR,,NYSE,False
UBS Group AG,UBS,UBSG,SIX Swiss,False
Waste Management Inc.,Waste Management,WM,NYSE,True
Commerzbank AG,Commerzbank,CBK,Deutsche Börse Xetra,True
"Foot Locker, Inc.",Foot Locker,FL,NYSE,True
iRobot Corporation,iRobot,IRBT,NASDAQ,True
Nostrum Oil & Gas PLC,Nostrum Oil & Gas,NOG,London Stock Exchange,True
Pitney-Bowes,Pitney-Bowes,PBI,NYSE,False
Prudential PLC,Prudential,PRU,London Stock Exchange,True
Revolve Group LLC,Revolve,RVLV,NYSE,True
VanEck Vectors Video Gaming and eSports UCITS ETF USD Accumulating,VanEck Vectors Video Gaming and eSports,,London Stock Exchange,True
Airtel Africa PLC,Airtel Africa,AAF,London Stock Exchange,True
Burberry Group PLC,Burberry Group,BRBY,London Stock Exchange,True
Centrica PLC,Centrica,CNA,London Stock Exchange,True
"Dell Technologies, Inc.",Dell Technologies,DELL,NYSE,True
Twilio Inc.,Twilio,TWLO,NYSE,True
Zynga Inc.,Zynga,ZNGA,NASDAQ,True
"Aaron's, Inc.",Aaron's,AAN,NYSE,True
"Banco Bilbao Vizcaya Argentaria, S.A.",Banco Bilbao Vizcaya Argentaria,,Bolsa de Madrid,True
Bayerische Motoren Werke AG - Preferred stock,BMW - Preferred stock,BMW3,Deutsche Börse Xetra,True
"Caterpillar, Inc.",Caterpillar,CAT,NYSE,True
Forterra PLC,Forterra,FORT,London Stock Exchange,False
Hewlett-Packard Co,Hewlett-Packard,HPQ,NYSE,False
iShares Developed Markets Property Yield ETF USD Dist,iShares Developed Markets Property Yield USD,,London Stock Exchange,True
iShares Dow Jones U.S. Select Dividend EUR UCITS ETF,iShares Dow Jones U.S. Select Dividend EUR,,Deutsche Börse Xetra,False
iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE),iShares STOXX Europe 600 Oil & Gas,,Deutsche Börse Xetra,True
Kingfisher PLC,Kingfisher,KGF,London Stock Exchange,False
"Lululemon Athletica, Inc",Lululemon Athletica,LULU,NASDAQ,True
SIG PLC,SIG PLC,SHI,London Stock Exchange,True
TeamViewer AG,TeamViewer,TMV,Deutsche Börse Xetra,True
"Tyson Foods, Inc.",Tyson Foods,TSN,NYSE,True
